loc,length,bug type,approach
685,4,Overflow-Underflow,code snippet injection
671,8,Overflow-Underflow,code snippet injection
658,8,Overflow-Underflow,code snippet injection
641,10,Overflow-Underflow,code snippet injection
632,4,Overflow-Underflow,code snippet injection
619,8,Overflow-Underflow,code snippet injection
604,10,Overflow-Underflow,code snippet injection
595,4,Overflow-Underflow,code snippet injection
578,10,Overflow-Underflow,code snippet injection
1669,4,Overflow-Underflow,code snippet injection
1647,10,Overflow-Underflow,code snippet injection
1627,4,Overflow-Underflow,code snippet injection
1616,4,Overflow-Underflow,code snippet injection
1603,8,Overflow-Underflow,code snippet injection
1582,4,Overflow-Underflow,code snippet injection
1544,4,Overflow-Underflow,code snippet injection
1525,4,Overflow-Underflow,code snippet injection
1513,4,Overflow-Underflow,code snippet injection
1501,4,Overflow-Underflow,code snippet injection
1485,8,Overflow-Underflow,code snippet injection
1467,10,Overflow-Underflow,code snippet injection
1415,4,Overflow-Underflow,code snippet injection
1392,10,Overflow-Underflow,code snippet injection
1372,8,Overflow-Underflow,code snippet injection
1352,8,Overflow-Underflow,code snippet injection
1332,8,Overflow-Underflow,code snippet injection
1275,4,Overflow-Underflow,code snippet injection
1251,4,Overflow-Underflow,code snippet injection
1230,4,Overflow-Underflow,code snippet injection
1202,8,Overflow-Underflow,code snippet injection
1180,8,Overflow-Underflow,code snippet injection
1164,4,Overflow-Underflow,code snippet injection
1148,4,Overflow-Underflow,code snippet injection
1112,10,Overflow-Underflow,code snippet injection
1076,4,Overflow-Underflow,code snippet injection
1018,10,Overflow-Underflow,code snippet injection
995,10,Overflow-Underflow,code snippet injection
981,4,Overflow-Underflow,code snippet injection
965,4,Overflow-Underflow,code snippet injection
912,10,Overflow-Underflow,code snippet injection
