loc,length,bug type,approach
183,4,Overflow-Underflow,code snippet injection
43,8,Overflow-Underflow,code snippet injection
30,8,Overflow-Underflow,code snippet injection
349,10,Overflow-Underflow,code snippet injection
310,4,Overflow-Underflow,code snippet injection
291,8,Overflow-Underflow,code snippet injection
275,10,Overflow-Underflow,code snippet injection
267,4,Overflow-Underflow,code snippet injection
251,10,Overflow-Underflow,code snippet injection
228,4,Overflow-Underflow,code snippet injection
183,10,Overflow-Underflow,code snippet injection
178,4,Overflow-Underflow,code snippet injection
173,4,Overflow-Underflow,code snippet injection
161,8,Overflow-Underflow,code snippet injection
153,4,Overflow-Underflow,code snippet injection
134,4,Overflow-Underflow,code snippet injection
118,4,Overflow-Underflow,code snippet injection
110,4,Overflow-Underflow,code snippet injection
30,4,Overflow-Underflow,code snippet injection
21,8,Overflow-Underflow,code snippet injection
10,10,Overflow-Underflow,code snippet injection
339,4,Overflow-Underflow,code snippet injection
328,10,Overflow-Underflow,code snippet injection
319,8,Overflow-Underflow,code snippet injection
203,8,Overflow-Underflow,code snippet injection
96,8,Overflow-Underflow,code snippet injection
91,4,Overflow-Underflow,code snippet injection
86,4,Overflow-Underflow,code snippet injection
