loc,length,bug type,approach
304,4,Overflow-Underflow,code snippet injection
203,8,Overflow-Underflow,code snippet injection
85,8,Overflow-Underflow,code snippet injection
74,10,Overflow-Underflow,code snippet injection
14,4,Overflow-Underflow,code snippet injection
660,8,Overflow-Underflow,code snippet injection
632,10,Overflow-Underflow,code snippet injection
617,4,Overflow-Underflow,code snippet injection
602,10,Overflow-Underflow,code snippet injection
593,4,Overflow-Underflow,code snippet injection
501,10,Overflow-Underflow,code snippet injection
493,4,Overflow-Underflow,code snippet injection
485,4,Overflow-Underflow,code snippet injection
473,8,Overflow-Underflow,code snippet injection
465,4,Overflow-Underflow,code snippet injection
445,4,Overflow-Underflow,code snippet injection
420,4,Overflow-Underflow,code snippet injection
400,4,Overflow-Underflow,code snippet injection
386,4,Overflow-Underflow,code snippet injection
362,8,Overflow-Underflow,code snippet injection
304,10,Overflow-Underflow,code snippet injection
299,4,Overflow-Underflow,code snippet injection
288,10,Overflow-Underflow,code snippet injection
269,8,Overflow-Underflow,code snippet injection
252,8,Overflow-Underflow,code snippet injection
203,8,Overflow-Underflow,code snippet injection
198,4,Overflow-Underflow,code snippet injection
143,4,Overflow-Underflow,code snippet injection
131,4,Overflow-Underflow,code snippet injection
56,8,Overflow-Underflow,code snippet injection
28,8,Overflow-Underflow,code snippet injection
555,4,Overflow-Underflow,code snippet injection
548,4,Overflow-Underflow,code snippet injection
535,10,Overflow-Underflow,code snippet injection
530,4,Overflow-Underflow,code snippet injection
519,10,Overflow-Underflow,code snippet injection
332,10,Overflow-Underflow,code snippet injection
231,4,Overflow-Underflow,code snippet injection
192,4,Overflow-Underflow,code snippet injection
95,10,Overflow-Underflow,code snippet injection
