loc,length,bug type,approach
299,4,Overflow-Underflow,code snippet injection
282,8,Overflow-Underflow,code snippet injection
263,8,Overflow-Underflow,code snippet injection
242,10,Overflow-Underflow,code snippet injection
232,4,Overflow-Underflow,code snippet injection
220,8,Overflow-Underflow,code snippet injection
204,10,Overflow-Underflow,code snippet injection
188,4,Overflow-Underflow,code snippet injection
174,10,Overflow-Underflow,code snippet injection
161,4,Overflow-Underflow,code snippet injection
144,10,Overflow-Underflow,code snippet injection
133,4,Overflow-Underflow,code snippet injection
122,4,Overflow-Underflow,code snippet injection
107,8,Overflow-Underflow,code snippet injection
49,4,Overflow-Underflow,code snippet injection
94,4,Overflow-Underflow,code snippet injection
89,4,Overflow-Underflow,code snippet injection
83,4,Overflow-Underflow,code snippet injection
78,4,Overflow-Underflow,code snippet injection
69,8,Overflow-Underflow,code snippet injection
58,10,Overflow-Underflow,code snippet injection
