loc,length,bug type,approach
2799,4,Overflow-Underflow,code snippet injection
2790,8,Overflow-Underflow,code snippet injection
2780,8,Overflow-Underflow,code snippet injection
2761,10,Overflow-Underflow,code snippet injection
1644,4,Overflow-Underflow,code snippet injection
1635,8,Overflow-Underflow,code snippet injection
1624,10,Overflow-Underflow,code snippet injection
1619,4,Overflow-Underflow,code snippet injection
1607,10,Overflow-Underflow,code snippet injection
1597,4,Overflow-Underflow,code snippet injection
1581,10,Overflow-Underflow,code snippet injection
1571,4,Overflow-Underflow,code snippet injection
891,4,Overflow-Underflow,code snippet injection
882,8,Overflow-Underflow,code snippet injection
877,4,Overflow-Underflow,code snippet injection
872,4,Overflow-Underflow,code snippet injection
867,4,Overflow-Underflow,code snippet injection
862,4,Overflow-Underflow,code snippet injection
857,4,Overflow-Underflow,code snippet injection
209,8,Overflow-Underflow,code snippet injection
197,10,Overflow-Underflow,code snippet injection
110,4,Overflow-Underflow,code snippet injection
2988,10,Overflow-Underflow,code snippet injection
2936,8,Overflow-Underflow,code snippet injection
2895,8,Overflow-Underflow,code snippet injection
2876,8,Overflow-Underflow,code snippet injection
2858,4,Overflow-Underflow,code snippet injection
2733,4,Overflow-Underflow,code snippet injection
2721,4,Overflow-Underflow,code snippet injection
2705,8,Overflow-Underflow,code snippet injection
2689,8,Overflow-Underflow,code snippet injection
2669,4,Overflow-Underflow,code snippet injection
2653,4,Overflow-Underflow,code snippet injection
2608,10,Overflow-Underflow,code snippet injection
2595,4,Overflow-Underflow,code snippet injection
2576,10,Overflow-Underflow,code snippet injection
2558,10,Overflow-Underflow,code snippet injection
2545,4,Overflow-Underflow,code snippet injection
2532,4,Overflow-Underflow,code snippet injection
2512,10,Overflow-Underflow,code snippet injection
