loc,length,bug type,approach
220,8,Re-entrancy,code snippet injection
206,7,Re-entrancy,code snippet injection
279,8,Re-entrancy,code snippet injection
243,8,Re-entrancy,code snippet injection
192,8,Re-entrancy,code snippet injection
180,8,Re-entrancy,code snippet injection
165,10,Re-entrancy,code snippet injection
148,9,Re-entrancy,code snippet injection
133,8,Re-entrancy,code snippet injection
114,8,Re-entrancy,code snippet injection
105,8,Re-entrancy,code snippet injection
95,8,Re-entrancy,code snippet injection
86,8,Re-entrancy,code snippet injection
79,6,Re-entrancy,code snippet injection
70,8,Re-entrancy,code snippet injection
60,8,Re-entrancy,code snippet injection
50,8,Re-entrancy,code snippet injection
