loc,length,bug type,approach
141,8,Re-entrancy,code snippet injection
133,7,Re-entrancy,code snippet injection
124,8,Re-entrancy,code snippet injection
400,8,Re-entrancy,code snippet injection
388,8,Re-entrancy,code snippet injection
374,8,Re-entrancy,code snippet injection
358,10,Re-entrancy,code snippet injection
342,9,Re-entrancy,code snippet injection
324,8,Re-entrancy,code snippet injection
309,8,Re-entrancy,code snippet injection
294,8,Re-entrancy,code snippet injection
280,8,Re-entrancy,code snippet injection
266,8,Re-entrancy,code snippet injection
254,6,Re-entrancy,code snippet injection
240,8,Re-entrancy,code snippet injection
225,8,Re-entrancy,code snippet injection
209,8,Re-entrancy,code snippet injection
161,8,Re-entrancy,code snippet injection
151,9,Re-entrancy,code snippet injection
114,8,Re-entrancy,code snippet injection
105,8,Re-entrancy,code snippet injection
98,6,Re-entrancy,code snippet injection
92,5,Re-entrancy,code snippet injection
82,9,Re-entrancy,code snippet injection
73,8,Re-entrancy,code snippet injection
65,7,Re-entrancy,code snippet injection
57,6,Re-entrancy,code snippet injection
49,7,Re-entrancy,code snippet injection
41,7,Re-entrancy,code snippet injection
32,8,Re-entrancy,code snippet injection
