loc,length,bug type,approach
62,8,Re-entrancy,code snippet injection
54,7,Re-entrancy,code snippet injection
45,8,Re-entrancy,code snippet injection
322,8,Re-entrancy,code snippet injection
307,8,Re-entrancy,code snippet injection
292,8,Re-entrancy,code snippet injection
275,10,Re-entrancy,code snippet injection
256,9,Re-entrancy,code snippet injection
241,8,Re-entrancy,code snippet injection
225,8,Re-entrancy,code snippet injection
152,8,Re-entrancy,code snippet injection
134,8,Re-entrancy,code snippet injection
113,8,Re-entrancy,code snippet injection
80,6,Re-entrancy,code snippet injection
35,8,Re-entrancy,code snippet injection
11,8,Re-entrancy,code snippet injection
