loc,length,bug type,approach
469,8,Re-entrancy,code snippet injection
461,7,Re-entrancy,code snippet injection
452,8,Re-entrancy,code snippet injection
306,8,Re-entrancy,code snippet injection
692,8,Re-entrancy,code snippet injection
673,8,Re-entrancy,code snippet injection
652,10,Re-entrancy,code snippet injection
639,9,Re-entrancy,code snippet injection
610,8,Re-entrancy,code snippet injection
574,8,Re-entrancy,code snippet injection
552,8,Re-entrancy,code snippet injection
492,8,Re-entrancy,code snippet injection
414,8,Re-entrancy,code snippet injection
398,6,Re-entrancy,code snippet injection
382,8,Re-entrancy,code snippet injection
362,8,Re-entrancy,code snippet injection
339,8,Re-entrancy,code snippet injection
324,8,Re-entrancy,code snippet injection
513,9,Re-entrancy,code snippet injection
479,8,Re-entrancy,code snippet injection
442,8,Re-entrancy,code snippet injection
435,6,Re-entrancy,code snippet injection
429,5,Re-entrancy,code snippet injection
295,9,Re-entrancy,code snippet injection
