loc,length,bug type,approach
71,8,Re-entrancy,code snippet injection
63,7,Re-entrancy,code snippet injection
54,8,Re-entrancy,code snippet injection
346,8,Re-entrancy,code snippet injection
331,8,Re-entrancy,code snippet injection
316,8,Re-entrancy,code snippet injection
299,10,Re-entrancy,code snippet injection
279,9,Re-entrancy,code snippet injection
264,8,Re-entrancy,code snippet injection
247,8,Re-entrancy,code snippet injection
234,8,Re-entrancy,code snippet injection
221,8,Re-entrancy,code snippet injection
158,8,Re-entrancy,code snippet injection
142,6,Re-entrancy,code snippet injection
121,8,Re-entrancy,code snippet injection
89,8,Re-entrancy,code snippet injection
44,8,Re-entrancy,code snippet injection
33,8,Re-entrancy,code snippet injection
11,9,Re-entrancy,code snippet injection
