loc,length,bug type,approach
1103,8,Re-entrancy,code snippet injection
1095,7,Re-entrancy,code snippet injection
1086,8,Re-entrancy,code snippet injection
1077,8,Re-entrancy,code snippet injection
1068,8,Re-entrancy,code snippet injection
1054,8,Re-entrancy,code snippet injection
1040,10,Re-entrancy,code snippet injection
1014,9,Re-entrancy,code snippet injection
720,8,Re-entrancy,code snippet injection
587,8,Re-entrancy,code snippet injection
570,8,Re-entrancy,code snippet injection
542,8,Re-entrancy,code snippet injection
524,8,Re-entrancy,code snippet injection
479,6,Re-entrancy,code snippet injection
462,8,Re-entrancy,code snippet injection
397,8,Re-entrancy,code snippet injection
380,8,Re-entrancy,code snippet injection
371,8,Re-entrancy,code snippet injection
361,9,Re-entrancy,code snippet injection
352,8,Re-entrancy,code snippet injection
343,8,Re-entrancy,code snippet injection
336,6,Re-entrancy,code snippet injection
330,5,Re-entrancy,code snippet injection
320,9,Re-entrancy,code snippet injection
310,8,Re-entrancy,code snippet injection
302,7,Re-entrancy,code snippet injection
295,6,Re-entrancy,code snippet injection
287,7,Re-entrancy,code snippet injection
279,7,Re-entrancy,code snippet injection
270,8,Re-entrancy,code snippet injection
261,8,Re-entrancy,code snippet injection
252,8,Re-entrancy,code snippet injection
246,5,Re-entrancy,code snippet injection
237,8,Re-entrancy,code snippet injection
228,8,Re-entrancy,code snippet injection
218,9,Re-entrancy,code snippet injection
207,10,Re-entrancy,code snippet injection
201,5,Re-entrancy,code snippet injection
192,8,Re-entrancy,code snippet injection
181,10,Re-entrancy,code snippet injection
172,8,Re-entrancy,code snippet injection
162,9,Re-entrancy,code snippet injection
