loc,length,bug type,approach
511,8,Re-entrancy,code snippet injection
58,7,Re-entrancy,code snippet injection
49,8,Re-entrancy,code snippet injection
887,8,Re-entrancy,code snippet injection
842,8,Re-entrancy,code snippet injection
814,8,Re-entrancy,code snippet injection
781,10,Re-entrancy,code snippet injection
766,9,Re-entrancy,code snippet injection
741,8,Re-entrancy,code snippet injection
729,8,Re-entrancy,code snippet injection
717,8,Re-entrancy,code snippet injection
706,8,Re-entrancy,code snippet injection
695,8,Re-entrancy,code snippet injection
684,6,Re-entrancy,code snippet injection
674,8,Re-entrancy,code snippet injection
640,8,Re-entrancy,code snippet injection
606,8,Re-entrancy,code snippet injection
587,8,Re-entrancy,code snippet injection
567,9,Re-entrancy,code snippet injection
538,8,Re-entrancy,code snippet injection
357,8,Re-entrancy,code snippet injection
350,6,Re-entrancy,code snippet injection
343,5,Re-entrancy,code snippet injection
333,9,Re-entrancy,code snippet injection
323,8,Re-entrancy,code snippet injection
315,7,Re-entrancy,code snippet injection
307,6,Re-entrancy,code snippet injection
299,7,Re-entrancy,code snippet injection
290,7,Re-entrancy,code snippet injection
281,8,Re-entrancy,code snippet injection
270,8,Re-entrancy,code snippet injection
261,8,Re-entrancy,code snippet injection
254,5,Re-entrancy,code snippet injection
245,8,Re-entrancy,code snippet injection
235,8,Re-entrancy,code snippet injection
225,9,Re-entrancy,code snippet injection
213,10,Re-entrancy,code snippet injection
207,5,Re-entrancy,code snippet injection
197,8,Re-entrancy,code snippet injection
186,10,Re-entrancy,code snippet injection
176,8,Re-entrancy,code snippet injection
166,9,Re-entrancy,code snippet injection
