loc,length,bug type,approach
157,8,Re-entrancy,code snippet injection
149,7,Re-entrancy,code snippet injection
469,8,Re-entrancy,code snippet injection
457,8,Re-entrancy,code snippet injection
445,8,Re-entrancy,code snippet injection
427,8,Re-entrancy,code snippet injection
413,10,Re-entrancy,code snippet injection
400,9,Re-entrancy,code snippet injection
388,8,Re-entrancy,code snippet injection
368,8,Re-entrancy,code snippet injection
351,8,Re-entrancy,code snippet injection
332,8,Re-entrancy,code snippet injection
316,8,Re-entrancy,code snippet injection
303,6,Re-entrancy,code snippet injection
288,8,Re-entrancy,code snippet injection
272,8,Re-entrancy,code snippet injection
260,8,Re-entrancy,code snippet injection
243,8,Re-entrancy,code snippet injection
225,9,Re-entrancy,code snippet injection
45,8,Re-entrancy,code snippet injection
174,8,Re-entrancy,code snippet injection
167,6,Re-entrancy,code snippet injection
142,5,Re-entrancy,code snippet injection
132,9,Re-entrancy,code snippet injection
123,8,Re-entrancy,code snippet injection
115,7,Re-entrancy,code snippet injection
108,6,Re-entrancy,code snippet injection
99,7,Re-entrancy,code snippet injection
91,7,Re-entrancy,code snippet injection
82,8,Re-entrancy,code snippet injection
73,8,Re-entrancy,code snippet injection
64,8,Re-entrancy,code snippet injection
58,5,Re-entrancy,code snippet injection
32,8,Re-entrancy,code snippet injection
