loc,length,bug type,approach
327,8,Re-entrancy,code snippet injection
44,7,Re-entrancy,code snippet injection
625,8,Re-entrancy,code snippet injection
604,8,Re-entrancy,code snippet injection
585,8,Re-entrancy,code snippet injection
566,8,Re-entrancy,code snippet injection
550,10,Re-entrancy,code snippet injection
536,9,Re-entrancy,code snippet injection
520,8,Re-entrancy,code snippet injection
504,8,Re-entrancy,code snippet injection
486,8,Re-entrancy,code snippet injection
466,8,Re-entrancy,code snippet injection
454,8,Re-entrancy,code snippet injection
444,6,Re-entrancy,code snippet injection
431,8,Re-entrancy,code snippet injection
418,8,Re-entrancy,code snippet injection
404,8,Re-entrancy,code snippet injection
391,8,Re-entrancy,code snippet injection
378,9,Re-entrancy,code snippet injection
365,8,Re-entrancy,code snippet injection
353,8,Re-entrancy,code snippet injection
342,6,Re-entrancy,code snippet injection
239,5,Re-entrancy,code snippet injection
226,9,Re-entrancy,code snippet injection
214,8,Re-entrancy,code snippet injection
203,7,Re-entrancy,code snippet injection
113,6,Re-entrancy,code snippet injection
100,7,Re-entrancy,code snippet injection
87,7,Re-entrancy,code snippet injection
70,8,Re-entrancy,code snippet injection
58,8,Re-entrancy,code snippet injection
31,8,Re-entrancy,code snippet injection
21,5,Re-entrancy,code snippet injection
9,8,Re-entrancy,code snippet injection
317,8,Re-entrancy,code snippet injection
307,9,Re-entrancy,code snippet injection
296,10,Re-entrancy,code snippet injection
290,5,Re-entrancy,code snippet injection
281,8,Re-entrancy,code snippet injection
270,10,Re-entrancy,code snippet injection
260,8,Re-entrancy,code snippet injection
250,9,Re-entrancy,code snippet injection
