loc,length,bug type,approach
291,18,TOD,code snippet injection
272,18,TOD,code snippet injection
33,18,TOD,code snippet injection
559,13,TOD,code snippet injection
543,13,TOD,code snippet injection
522,18,TOD,code snippet injection
504,13,TOD,code snippet injection
486,13,TOD,code snippet injection
463,13,TOD,code snippet injection
445,13,TOD,code snippet injection
419,13,TOD,code snippet injection
401,13,TOD,code snippet injection
336,18,TOD,code snippet injection
315,18,TOD,code snippet injection
109,18,TOD,code snippet injection
95,13,TOD,code snippet injection
371,18,TOD,code snippet injection
356,13,TOD,code snippet injection
257,13,TOD,code snippet injection
238,18,TOD,code snippet injection
224,13,TOD,code snippet injection
204,18,TOD,code snippet injection
190,13,TOD,code snippet injection
171,18,TOD,code snippet injection
152,18,TOD,code snippet injection
133,18,TOD,code snippet injection
75,18,TOD,code snippet injection
