loc,length,bug type,approach
687,18,TOD,code snippet injection
668,18,TOD,code snippet injection
381,18,TOD,code snippet injection
209,13,TOD,code snippet injection
1136,13,TOD,code snippet injection
1068,18,TOD,code snippet injection
1050,13,TOD,code snippet injection
1032,13,TOD,code snippet injection
1015,13,TOD,code snippet injection
995,13,TOD,code snippet injection
966,13,TOD,code snippet injection
947,13,TOD,code snippet injection
925,18,TOD,code snippet injection
903,18,TOD,code snippet injection
881,18,TOD,code snippet injection
649,13,TOD,code snippet injection
605,18,TOD,code snippet injection
584,13,TOD,code snippet injection
559,13,TOD,code snippet injection
531,18,TOD,code snippet injection
503,13,TOD,code snippet injection
476,18,TOD,code snippet injection
452,13,TOD,code snippet injection
427,18,TOD,code snippet injection
342,18,TOD,code snippet injection
295,18,TOD,code snippet injection
263,18,TOD,code snippet injection
241,13,TOD,code snippet injection
138,18,TOD,code snippet injection
111,18,TOD,code snippet injection
85,18,TOD,code snippet injection
45,13,TOD,code snippet injection
27,13,TOD,code snippet injection
856,13,TOD,code snippet injection
835,18,TOD,code snippet injection
805,13,TOD,code snippet injection
791,13,TOD,code snippet injection
772,18,TOD,code snippet injection
753,18,TOD,code snippet injection
738,13,TOD,code snippet injection
