loc,length,bug type,approach
437,18,TOD,code snippet injection
414,18,TOD,code snippet injection
381,18,TOD,code snippet injection
354,13,TOD,code snippet injection
334,13,TOD,code snippet injection
310,18,TOD,code snippet injection
293,13,TOD,code snippet injection
271,13,TOD,code snippet injection
90,13,TOD,code snippet injection
76,13,TOD,code snippet injection
62,13,TOD,code snippet injection
48,13,TOD,code snippet injection
29,18,TOD,code snippet injection
10,18,TOD,code snippet injection
246,18,TOD,code snippet injection
232,13,TOD,code snippet injection
211,18,TOD,code snippet injection
191,13,TOD,code snippet injection
177,13,TOD,code snippet injection
158,18,TOD,code snippet injection
144,13,TOD,code snippet injection
