loc,length,bug type,approach
2983,18,TOD,code snippet injection
2964,18,TOD,code snippet injection
2945,18,TOD,code snippet injection
2924,13,TOD,code snippet injection
2910,13,TOD,code snippet injection
2891,18,TOD,code snippet injection
2072,13,TOD,code snippet injection
2058,13,TOD,code snippet injection
1827,13,TOD,code snippet injection
1813,13,TOD,code snippet injection
1799,13,TOD,code snippet injection
1785,13,TOD,code snippet injection
1766,18,TOD,code snippet injection
1747,18,TOD,code snippet injection
1728,18,TOD,code snippet injection
1714,13,TOD,code snippet injection
1695,18,TOD,code snippet injection
1681,13,TOD,code snippet injection
1667,13,TOD,code snippet injection
1648,18,TOD,code snippet injection
1634,13,TOD,code snippet injection
1615,18,TOD,code snippet injection
1601,13,TOD,code snippet injection
969,18,TOD,code snippet injection
950,18,TOD,code snippet injection
931,18,TOD,code snippet injection
912,18,TOD,code snippet injection
827,13,TOD,code snippet injection
113,18,TOD,code snippet injection
94,18,TOD,code snippet injection
2843,18,TOD,code snippet injection
2825,13,TOD,code snippet injection
2804,13,TOD,code snippet injection
2769,13,TOD,code snippet injection
2717,18,TOD,code snippet injection
2700,13,TOD,code snippet injection
2659,13,TOD,code snippet injection
2613,18,TOD,code snippet injection
2566,18,TOD,code snippet injection
2538,13,TOD,code snippet injection
