loc,length,bug type,approach
719,18,TOD,code snippet injection
684,18,TOD,code snippet injection
652,18,TOD,code snippet injection
600,13,TOD,code snippet injection
528,13,TOD,code snippet injection
505,18,TOD,code snippet injection
477,13,TOD,code snippet injection
405,13,TOD,code snippet injection
363,13,TOD,code snippet injection
344,13,TOD,code snippet injection
327,13,TOD,code snippet injection
305,13,TOD,code snippet injection
111,18,TOD,code snippet injection
90,18,TOD,code snippet injection
71,18,TOD,code snippet injection
57,13,TOD,code snippet injection
38,18,TOD,code snippet injection
24,13,TOD,code snippet injection
10,13,TOD,code snippet injection
557,18,TOD,code snippet injection
285,13,TOD,code snippet injection
266,18,TOD,code snippet injection
250,13,TOD,code snippet injection
225,18,TOD,code snippet injection
206,18,TOD,code snippet injection
187,18,TOD,code snippet injection
168,18,TOD,code snippet injection
