loc,length,bug type,approach
812,18,TOD,code snippet injection
793,18,TOD,code snippet injection
598,18,TOD,code snippet injection
581,13,TOD,code snippet injection
506,13,TOD,code snippet injection
128,18,TOD,code snippet injection
43,13,TOD,code snippet injection
1043,13,TOD,code snippet injection
1026,13,TOD,code snippet injection
1009,13,TOD,code snippet injection
992,13,TOD,code snippet injection
975,13,TOD,code snippet injection
953,18,TOD,code snippet injection
883,18,TOD,code snippet injection
857,18,TOD,code snippet injection
772,13,TOD,code snippet injection
745,18,TOD,code snippet injection
707,13,TOD,code snippet injection
684,13,TOD,code snippet injection
658,18,TOD,code snippet injection
626,13,TOD,code snippet injection
552,18,TOD,code snippet injection
528,13,TOD,code snippet injection
479,18,TOD,code snippet injection
441,18,TOD,code snippet injection
408,18,TOD,code snippet injection
380,18,TOD,code snippet injection
352,13,TOD,code snippet injection
294,18,TOD,code snippet injection
267,18,TOD,code snippet injection
228,18,TOD,code snippet injection
196,13,TOD,code snippet injection
111,13,TOD,code snippet injection
97,13,TOD,code snippet injection
78,18,TOD,code snippet injection
43,13,TOD,code snippet injection
29,13,TOD,code snippet injection
10,18,TOD,code snippet injection
924,18,TOD,code snippet injection
910,13,TOD,code snippet injection
