loc,length,bug type,approach
236,18,TOD,code snippet injection
217,18,TOD,code snippet injection
198,18,TOD,code snippet injection
44,13,TOD,code snippet injection
27,13,TOD,code snippet injection
404,18,TOD,code snippet injection
383,13,TOD,code snippet injection
353,13,TOD,code snippet injection
329,13,TOD,code snippet injection
306,13,TOD,code snippet injection
153,13,TOD,code snippet injection
130,13,TOD,code snippet injection
104,18,TOD,code snippet injection
67,18,TOD,code snippet injection
266,18,TOD,code snippet injection
183,13,TOD,code snippet injection
6,18,TOD,code snippet injection
