loc,length,bug type,approach
269,18,TOD,code snippet injection
250,18,TOD,code snippet injection
231,18,TOD,code snippet injection
217,13,TOD,code snippet injection
925,13,TOD,code snippet injection
836,18,TOD,code snippet injection
819,13,TOD,code snippet injection
802,13,TOD,code snippet injection
785,13,TOD,code snippet injection
768,13,TOD,code snippet injection
750,13,TOD,code snippet injection
732,13,TOD,code snippet injection
709,18,TOD,code snippet injection
687,18,TOD,code snippet injection
665,18,TOD,code snippet injection
648,13,TOD,code snippet injection
624,18,TOD,code snippet injection
607,13,TOD,code snippet injection
590,13,TOD,code snippet injection
567,18,TOD,code snippet injection
549,13,TOD,code snippet injection
526,18,TOD,code snippet injection
506,13,TOD,code snippet injection
483,18,TOD,code snippet injection
458,18,TOD,code snippet injection
435,18,TOD,code snippet injection
412,18,TOD,code snippet injection
394,13,TOD,code snippet injection
369,18,TOD,code snippet injection
345,18,TOD,code snippet injection
322,18,TOD,code snippet injection
299,13,TOD,code snippet injection
202,13,TOD,code snippet injection
176,13,TOD,code snippet injection
155,18,TOD,code snippet injection
141,13,TOD,code snippet injection
127,13,TOD,code snippet injection
108,18,TOD,code snippet injection
88,18,TOD,code snippet injection
74,13,TOD,code snippet injection
