loc,length,bug type,approach
265,18,TOD,code snippet injection
246,18,TOD,code snippet injection
227,18,TOD,code snippet injection
213,13,TOD,code snippet injection
199,13,TOD,code snippet injection
180,18,TOD,code snippet injection
166,13,TOD,code snippet injection
801,13,TOD,code snippet injection
776,13,TOD,code snippet injection
753,13,TOD,code snippet injection
716,13,TOD,code snippet injection
699,13,TOD,code snippet injection
677,18,TOD,code snippet injection
655,18,TOD,code snippet injection
633,18,TOD,code snippet injection
616,13,TOD,code snippet injection
594,18,TOD,code snippet injection
577,13,TOD,code snippet injection
559,13,TOD,code snippet injection
535,18,TOD,code snippet injection
515,13,TOD,code snippet injection
485,18,TOD,code snippet injection
465,13,TOD,code snippet injection
441,18,TOD,code snippet injection
418,18,TOD,code snippet injection
392,18,TOD,code snippet injection
360,18,TOD,code snippet injection
337,13,TOD,code snippet injection
315,18,TOD,code snippet injection
293,18,TOD,code snippet injection
145,18,TOD,code snippet injection
115,13,TOD,code snippet injection
101,13,TOD,code snippet injection
87,13,TOD,code snippet injection
67,18,TOD,code snippet injection
53,13,TOD,code snippet injection
39,13,TOD,code snippet injection
20,18,TOD,code snippet injection
