loc,length,bug type,approach
390,18,TOD,code snippet injection
371,18,TOD,code snippet injection
352,18,TOD,code snippet injection
338,13,TOD,code snippet injection
324,13,TOD,code snippet injection
305,18,TOD,code snippet injection
291,13,TOD,code snippet injection
148,13,TOD,code snippet injection
134,13,TOD,code snippet injection
120,13,TOD,code snippet injection
30,13,TOD,code snippet injection
16,13,TOD,code snippet injection
931,18,TOD,code snippet injection
901,18,TOD,code snippet injection
873,18,TOD,code snippet injection
836,13,TOD,code snippet injection
814,18,TOD,code snippet injection
797,13,TOD,code snippet injection
780,13,TOD,code snippet injection
758,18,TOD,code snippet injection
741,13,TOD,code snippet injection
719,18,TOD,code snippet injection
702,13,TOD,code snippet injection
679,18,TOD,code snippet injection
655,18,TOD,code snippet injection
630,18,TOD,code snippet injection
600,18,TOD,code snippet injection
580,13,TOD,code snippet injection
556,18,TOD,code snippet injection
533,18,TOD,code snippet injection
507,18,TOD,code snippet injection
480,13,TOD,code snippet injection
457,13,TOD,code snippet injection
440,13,TOD,code snippet injection
418,18,TOD,code snippet injection
239,13,TOD,code snippet injection
217,13,TOD,code snippet injection
190,18,TOD,code snippet injection
92,18,TOD,code snippet injection
71,13,TOD,code snippet injection
