loc,length,bug type,approach
276,18,TOD,code snippet injection
257,18,TOD,code snippet injection
238,18,TOD,code snippet injection
224,13,TOD,code snippet injection
210,13,TOD,code snippet injection
191,18,TOD,code snippet injection
177,13,TOD,code snippet injection
888,13,TOD,code snippet injection
843,13,TOD,code snippet injection
816,13,TOD,code snippet injection
762,13,TOD,code snippet injection
744,13,TOD,code snippet injection
722,18,TOD,code snippet injection
700,18,TOD,code snippet injection
678,18,TOD,code snippet injection
661,13,TOD,code snippet injection
639,18,TOD,code snippet injection
622,13,TOD,code snippet injection
604,13,TOD,code snippet injection
580,18,TOD,code snippet injection
560,13,TOD,code snippet injection
530,18,TOD,code snippet injection
510,13,TOD,code snippet injection
486,18,TOD,code snippet injection
463,18,TOD,code snippet injection
435,18,TOD,code snippet injection
402,18,TOD,code snippet injection
378,13,TOD,code snippet injection
351,18,TOD,code snippet injection
327,18,TOD,code snippet injection
305,18,TOD,code snippet injection
161,13,TOD,code snippet injection
130,13,TOD,code snippet injection
116,13,TOD,code snippet injection
97,18,TOD,code snippet injection
82,13,TOD,code snippet injection
68,13,TOD,code snippet injection
49,18,TOD,code snippet injection
30,18,TOD,code snippet injection
16,13,TOD,code snippet injection
