loc,length,bug type,approach
280,18,TOD,code snippet injection
261,18,TOD,code snippet injection
242,18,TOD,code snippet injection
228,13,TOD,code snippet injection
214,13,TOD,code snippet injection
195,18,TOD,code snippet injection
181,13,TOD,code snippet injection
878,13,TOD,code snippet injection
833,13,TOD,code snippet injection
806,13,TOD,code snippet injection
766,13,TOD,code snippet injection
748,13,TOD,code snippet injection
726,18,TOD,code snippet injection
704,18,TOD,code snippet injection
682,18,TOD,code snippet injection
665,13,TOD,code snippet injection
643,18,TOD,code snippet injection
626,13,TOD,code snippet injection
608,13,TOD,code snippet injection
584,18,TOD,code snippet injection
564,13,TOD,code snippet injection
534,18,TOD,code snippet injection
514,13,TOD,code snippet injection
490,18,TOD,code snippet injection
467,18,TOD,code snippet injection
439,18,TOD,code snippet injection
406,18,TOD,code snippet injection
382,13,TOD,code snippet injection
355,18,TOD,code snippet injection
331,18,TOD,code snippet injection
309,18,TOD,code snippet injection
165,13,TOD,code snippet injection
134,13,TOD,code snippet injection
120,13,TOD,code snippet injection
101,18,TOD,code snippet injection
86,13,TOD,code snippet injection
72,13,TOD,code snippet injection
53,18,TOD,code snippet injection
34,18,TOD,code snippet injection
20,13,TOD,code snippet injection
