loc,length,bug type,approach
394,18,TOD,code snippet injection
375,18,TOD,code snippet injection
356,18,TOD,code snippet injection
342,13,TOD,code snippet injection
327,13,TOD,code snippet injection
308,18,TOD,code snippet injection
881,13,TOD,code snippet injection
855,13,TOD,code snippet injection
831,13,TOD,code snippet injection
791,13,TOD,code snippet injection
774,13,TOD,code snippet injection
757,13,TOD,code snippet injection
735,18,TOD,code snippet injection
713,18,TOD,code snippet injection
691,18,TOD,code snippet injection
674,13,TOD,code snippet injection
652,18,TOD,code snippet injection
634,13,TOD,code snippet injection
614,13,TOD,code snippet injection
584,18,TOD,code snippet injection
564,13,TOD,code snippet injection
540,18,TOD,code snippet injection
522,13,TOD,code snippet injection
496,18,TOD,code snippet injection
466,18,TOD,code snippet injection
444,18,TOD,code snippet injection
422,18,TOD,code snippet injection
292,13,TOD,code snippet injection
254,18,TOD,code snippet injection
235,18,TOD,code snippet injection
216,18,TOD,code snippet injection
201,13,TOD,code snippet injection
187,13,TOD,code snippet injection
173,13,TOD,code snippet injection
154,18,TOD,code snippet injection
140,13,TOD,code snippet injection
126,13,TOD,code snippet injection
