loc,length,bug type,approach
271,18,TOD,code snippet injection
252,18,TOD,code snippet injection
233,18,TOD,code snippet injection
219,13,TOD,code snippet injection
205,13,TOD,code snippet injection
186,18,TOD,code snippet injection
172,13,TOD,code snippet injection
832,13,TOD,code snippet injection
808,13,TOD,code snippet injection
786,13,TOD,code snippet injection
760,13,TOD,code snippet injection
743,13,TOD,code snippet injection
716,18,TOD,code snippet injection
687,18,TOD,code snippet injection
665,18,TOD,code snippet injection
648,13,TOD,code snippet injection
626,18,TOD,code snippet injection
609,13,TOD,code snippet injection
592,13,TOD,code snippet injection
570,18,TOD,code snippet injection
553,13,TOD,code snippet injection
528,18,TOD,code snippet injection
503,13,TOD,code snippet injection
478,18,TOD,code snippet injection
454,18,TOD,code snippet injection
431,18,TOD,code snippet injection
392,18,TOD,code snippet injection
374,13,TOD,code snippet injection
346,18,TOD,code snippet injection
324,18,TOD,code snippet injection
302,18,TOD,code snippet injection
157,13,TOD,code snippet injection
127,13,TOD,code snippet injection
113,13,TOD,code snippet injection
94,18,TOD,code snippet injection
79,13,TOD,code snippet injection
65,13,TOD,code snippet injection
46,18,TOD,code snippet injection
27,18,TOD,code snippet injection
13,13,TOD,code snippet injection
