loc,length,bug type,approach
311,18,TOD,code snippet injection
292,18,TOD,code snippet injection
273,18,TOD,code snippet injection
259,13,TOD,code snippet injection
244,13,TOD,code snippet injection
225,18,TOD,code snippet injection
1007,13,TOD,code snippet injection
981,13,TOD,code snippet injection
957,13,TOD,code snippet injection
917,13,TOD,code snippet injection
900,13,TOD,code snippet injection
883,13,TOD,code snippet injection
861,18,TOD,code snippet injection
839,18,TOD,code snippet injection
817,18,TOD,code snippet injection
800,13,TOD,code snippet injection
778,18,TOD,code snippet injection
761,13,TOD,code snippet injection
744,13,TOD,code snippet injection
721,18,TOD,code snippet injection
701,13,TOD,code snippet injection
671,18,TOD,code snippet injection
651,13,TOD,code snippet injection
627,18,TOD,code snippet injection
604,18,TOD,code snippet injection
579,18,TOD,code snippet injection
539,18,TOD,code snippet injection
508,13,TOD,code snippet injection
486,18,TOD,code snippet injection
463,18,TOD,code snippet injection
439,18,TOD,code snippet injection
420,13,TOD,code snippet injection
400,13,TOD,code snippet injection
381,13,TOD,code snippet injection
357,18,TOD,code snippet injection
338,13,TOD,code snippet injection
209,13,TOD,code snippet injection
170,18,TOD,code snippet injection
151,18,TOD,code snippet injection
137,13,TOD,code snippet injection
