loc,length,bug type,approach
179,18,TOD,code snippet injection
160,18,TOD,code snippet injection
395,18,TOD,code snippet injection
335,13,TOD,code snippet injection
315,13,TOD,code snippet injection
292,18,TOD,code snippet injection
273,13,TOD,code snippet injection
256,13,TOD,code snippet injection
239,13,TOD,code snippet injection
222,13,TOD,code snippet injection
205,13,TOD,code snippet injection
145,13,TOD,code snippet injection
114,18,TOD,code snippet injection
94,18,TOD,code snippet injection
75,18,TOD,code snippet injection
61,13,TOD,code snippet injection
42,18,TOD,code snippet injection
28,13,TOD,code snippet injection
14,13,TOD,code snippet injection
