loc,length,bug type,approach
652,18,TOD,code snippet injection
619,18,TOD,code snippet injection
583,18,TOD,code snippet injection
556,13,TOD,code snippet injection
487,13,TOD,code snippet injection
464,18,TOD,code snippet injection
436,13,TOD,code snippet injection
409,13,TOD,code snippet injection
367,13,TOD,code snippet injection
348,13,TOD,code snippet injection
331,13,TOD,code snippet injection
309,13,TOD,code snippet injection
115,18,TOD,code snippet injection
94,18,TOD,code snippet injection
75,18,TOD,code snippet injection
61,13,TOD,code snippet injection
42,18,TOD,code snippet injection
28,13,TOD,code snippet injection
14,13,TOD,code snippet injection
509,18,TOD,code snippet injection
289,13,TOD,code snippet injection
270,18,TOD,code snippet injection
254,13,TOD,code snippet injection
229,18,TOD,code snippet injection
210,18,TOD,code snippet injection
191,18,TOD,code snippet injection
172,18,TOD,code snippet injection
