loc,length,bug type,approach
687,18,TOD,code snippet injection
668,18,TOD,code snippet injection
376,18,TOD,code snippet injection
204,13,TOD,code snippet injection
1148,13,TOD,code snippet injection
1074,18,TOD,code snippet injection
1055,13,TOD,code snippet injection
1037,13,TOD,code snippet injection
1019,13,TOD,code snippet injection
1002,13,TOD,code snippet injection
982,13,TOD,code snippet injection
953,13,TOD,code snippet injection
929,18,TOD,code snippet injection
907,18,TOD,code snippet injection
885,18,TOD,code snippet injection
868,13,TOD,code snippet injection
644,18,TOD,code snippet injection
605,13,TOD,code snippet injection
584,13,TOD,code snippet injection
554,18,TOD,code snippet injection
531,13,TOD,code snippet injection
498,18,TOD,code snippet injection
476,13,TOD,code snippet injection
447,18,TOD,code snippet injection
422,18,TOD,code snippet injection
337,18,TOD,code snippet injection
290,18,TOD,code snippet injection
263,13,TOD,code snippet injection
236,18,TOD,code snippet injection
133,18,TOD,code snippet injection
106,18,TOD,code snippet injection
85,13,TOD,code snippet injection
45,13,TOD,code snippet injection
27,13,TOD,code snippet injection
839,18,TOD,code snippet injection
823,13,TOD,code snippet injection
793,13,TOD,code snippet injection
774,18,TOD,code snippet injection
755,18,TOD,code snippet injection
741,13,TOD,code snippet injection
