loc,length,bug type,approach
287,18,TOD,code snippet injection
268,18,TOD,code snippet injection
29,18,TOD,code snippet injection
555,13,TOD,code snippet injection
539,13,TOD,code snippet injection
518,18,TOD,code snippet injection
500,13,TOD,code snippet injection
482,13,TOD,code snippet injection
459,13,TOD,code snippet injection
441,13,TOD,code snippet injection
415,13,TOD,code snippet injection
397,13,TOD,code snippet injection
332,18,TOD,code snippet injection
311,18,TOD,code snippet injection
105,18,TOD,code snippet injection
91,13,TOD,code snippet injection
367,18,TOD,code snippet injection
352,13,TOD,code snippet injection
253,13,TOD,code snippet injection
234,18,TOD,code snippet injection
220,13,TOD,code snippet injection
200,18,TOD,code snippet injection
186,13,TOD,code snippet injection
167,18,TOD,code snippet injection
148,18,TOD,code snippet injection
129,18,TOD,code snippet injection
71,18,TOD,code snippet injection
