loc,length,bug type,approach
366,18,TOD,code snippet injection
347,18,TOD,code snippet injection
629,18,TOD,code snippet injection
611,13,TOD,code snippet injection
579,13,TOD,code snippet injection
556,18,TOD,code snippet injection
474,13,TOD,code snippet injection
457,13,TOD,code snippet injection
440,13,TOD,code snippet injection
423,13,TOD,code snippet injection
407,13,TOD,code snippet injection
391,13,TOD,code snippet injection
180,18,TOD,code snippet injection
161,18,TOD,code snippet injection
139,18,TOD,code snippet injection
125,13,TOD,code snippet injection
103,18,TOD,code snippet injection
89,13,TOD,code snippet injection
75,13,TOD,code snippet injection
56,18,TOD,code snippet injection
42,13,TOD,code snippet injection
20,18,TOD,code snippet injection
528,13,TOD,code snippet injection
509,18,TOD,code snippet injection
489,18,TOD,code snippet injection
327,18,TOD,code snippet injection
308,18,TOD,code snippet injection
294,13,TOD,code snippet injection
274,18,TOD,code snippet injection
255,18,TOD,code snippet injection
236,18,TOD,code snippet injection
222,13,TOD,code snippet injection
208,13,TOD,code snippet injection
