loc,length,bug type,approach
194,3,tx.origin,code snippet injection
189,4,tx.origin,code snippet injection
178,4,tx.origin,code snippet injection
165,4,tx.origin,code snippet injection
137,4,tx.origin,code snippet injection
115,4,tx.origin,code snippet injection
361,4,tx.origin,code snippet injection
339,4,tx.origin,code snippet injection
320,4,tx.origin,code snippet injection
297,4,tx.origin,code snippet injection
278,4,tx.origin,code snippet injection
258,4,tx.origin,code snippet injection
235,3,tx.origin,code snippet injection
223,4,tx.origin,code snippet injection
210,3,tx.origin,code snippet injection
137,4,tx.origin,code snippet injection
133,3,tx.origin,code snippet injection
115,4,tx.origin,code snippet injection
105,4,tx.origin,code snippet injection
92,4,tx.origin,code snippet injection
43,5,tx.origin,code snippet injection
34,3,tx.origin,code snippet injection
25,4,tx.origin,code snippet injection
14,4,tx.origin,code snippet injection
183,4,tx.origin,code snippet injection
172,4,tx.origin,code snippet injection
158,3,tx.origin,code snippet injection
82,4,tx.origin,code snippet injection
73,3,tx.origin,code snippet injection
67,5,tx.origin,code snippet injection
62,4,tx.origin,code snippet injection
57,4,tx.origin,code snippet injection
50,4,tx.origin,code snippet injection
