loc,length,bug type,approach
169,3,tx.origin,code snippet injection
543,4,tx.origin,code snippet injection
520,4,tx.origin,code snippet injection
489,4,tx.origin,code snippet injection
474,4,tx.origin,code snippet injection
463,4,tx.origin,code snippet injection
392,4,tx.origin,code snippet injection
365,4,tx.origin,code snippet injection
354,4,tx.origin,code snippet injection
345,4,tx.origin,code snippet injection
320,4,tx.origin,code snippet injection
308,4,tx.origin,code snippet injection
297,3,tx.origin,code snippet injection
285,4,tx.origin,code snippet injection
274,3,tx.origin,code snippet injection
262,4,tx.origin,code snippet injection
252,3,tx.origin,code snippet injection
242,4,tx.origin,code snippet injection
233,4,tx.origin,code snippet injection
224,4,tx.origin,code snippet injection
214,5,tx.origin,code snippet injection
206,3,tx.origin,code snippet injection
197,4,tx.origin,code snippet injection
183,4,tx.origin,code snippet injection
98,4,tx.origin,code snippet injection
90,4,tx.origin,code snippet injection
83,3,tx.origin,code snippet injection
75,4,tx.origin,code snippet injection
19,3,tx.origin,code snippet injection
162,5,tx.origin,code snippet injection
157,4,tx.origin,code snippet injection
152,4,tx.origin,code snippet injection
146,4,tx.origin,code snippet injection
141,4,tx.origin,code snippet injection
136,3,tx.origin,code snippet injection
128,4,tx.origin,code snippet injection
123,4,tx.origin,code snippet injection
119,3,tx.origin,code snippet injection
115,3,tx.origin,code snippet injection
109,4,tx.origin,code snippet injection
