loc,length,bug type,approach
352,3,tx.origin,code snippet injection
343,4,tx.origin,code snippet injection
334,4,tx.origin,code snippet injection
325,4,tx.origin,code snippet injection
317,4,tx.origin,code snippet injection
308,4,tx.origin,code snippet injection
203,4,tx.origin,code snippet injection
196,4,tx.origin,code snippet injection
189,4,tx.origin,code snippet injection
182,4,tx.origin,code snippet injection
156,4,tx.origin,code snippet injection
145,4,tx.origin,code snippet injection
135,3,tx.origin,code snippet injection
124,4,tx.origin,code snippet injection
113,3,tx.origin,code snippet injection
105,4,tx.origin,code snippet injection
98,3,tx.origin,code snippet injection
89,4,tx.origin,code snippet injection
81,4,tx.origin,code snippet injection
74,4,tx.origin,code snippet injection
65,5,tx.origin,code snippet injection
59,3,tx.origin,code snippet injection
29,4,tx.origin,code snippet injection
20,4,tx.origin,code snippet injection
298,4,tx.origin,code snippet injection
293,4,tx.origin,code snippet injection
171,3,tx.origin,code snippet injection
166,4,tx.origin,code snippet injection
162,3,tx.origin,code snippet injection
50,5,tx.origin,code snippet injection
44,4,tx.origin,code snippet injection
38,4,tx.origin,code snippet injection
