loc,length,bug type,approach
246,3,tx.origin,code snippet injection
157,4,tx.origin,code snippet injection
125,4,tx.origin,code snippet injection
98,4,tx.origin,code snippet injection
484,4,tx.origin,code snippet injection
465,4,tx.origin,code snippet injection
435,4,tx.origin,code snippet injection
397,4,tx.origin,code snippet injection
383,4,tx.origin,code snippet injection
374,4,tx.origin,code snippet injection
365,4,tx.origin,code snippet injection
344,4,tx.origin,code snippet injection
336,3,tx.origin,code snippet injection
323,4,tx.origin,code snippet injection
303,3,tx.origin,code snippet injection
294,4,tx.origin,code snippet injection
278,3,tx.origin,code snippet injection
157,4,tx.origin,code snippet injection
152,4,tx.origin,code snippet injection
147,4,tx.origin,code snippet injection
125,5,tx.origin,code snippet injection
121,3,tx.origin,code snippet injection
116,4,tx.origin,code snippet injection
98,4,tx.origin,code snippet injection
93,4,tx.origin,code snippet injection
78,4,tx.origin,code snippet injection
56,3,tx.origin,code snippet injection
239,4,tx.origin,code snippet injection
235,3,tx.origin,code snippet injection
229,5,tx.origin,code snippet injection
217,4,tx.origin,code snippet injection
212,4,tx.origin,code snippet injection
207,4,tx.origin,code snippet injection
200,4,tx.origin,code snippet injection
196,3,tx.origin,code snippet injection
191,4,tx.origin,code snippet injection
186,4,tx.origin,code snippet injection
182,3,tx.origin,code snippet injection
177,3,tx.origin,code snippet injection
172,4,tx.origin,code snippet injection
