loc,length,bug type,approach
322,3,tx.origin,code snippet injection
317,4,tx.origin,code snippet injection
140,4,tx.origin,code snippet injection
134,4,tx.origin,code snippet injection
69,4,tx.origin,code snippet injection
353,4,tx.origin,code snippet injection
337,4,tx.origin,code snippet injection
271,4,tx.origin,code snippet injection
247,4,tx.origin,code snippet injection
228,4,tx.origin,code snippet injection
206,4,tx.origin,code snippet injection
186,4,tx.origin,code snippet injection
168,3,tx.origin,code snippet injection
154,4,tx.origin,code snippet injection
104,3,tx.origin,code snippet injection
90,4,tx.origin,code snippet injection
312,3,tx.origin,code snippet injection
306,4,tx.origin,code snippet injection
301,4,tx.origin,code snippet injection
296,4,tx.origin,code snippet injection
289,5,tx.origin,code snippet injection
285,3,tx.origin,code snippet injection
280,4,tx.origin,code snippet injection
128,4,tx.origin,code snippet injection
122,4,tx.origin,code snippet injection
116,4,tx.origin,code snippet injection
64,3,tx.origin,code snippet injection
