loc,length,bug type,approach
361,3,tx.origin,code snippet injection
352,4,tx.origin,code snippet injection
343,4,tx.origin,code snippet injection
334,4,tx.origin,code snippet injection
325,4,tx.origin,code snippet injection
225,4,tx.origin,code snippet injection
218,4,tx.origin,code snippet injection
211,4,tx.origin,code snippet injection
204,4,tx.origin,code snippet injection
175,4,tx.origin,code snippet injection
167,4,tx.origin,code snippet injection
151,4,tx.origin,code snippet injection
141,3,tx.origin,code snippet injection
130,4,tx.origin,code snippet injection
120,3,tx.origin,code snippet injection
108,4,tx.origin,code snippet injection
101,3,tx.origin,code snippet injection
93,4,tx.origin,code snippet injection
84,4,tx.origin,code snippet injection
76,4,tx.origin,code snippet injection
68,5,tx.origin,code snippet injection
61,3,tx.origin,code snippet injection
54,4,tx.origin,code snippet injection
27,4,tx.origin,code snippet injection
20,4,tx.origin,code snippet injection
315,4,tx.origin,code snippet injection
311,3,tx.origin,code snippet injection
192,4,tx.origin,code snippet injection
188,3,tx.origin,code snippet injection
182,5,tx.origin,code snippet injection
157,4,tx.origin,code snippet injection
45,4,tx.origin,code snippet injection
40,4,tx.origin,code snippet injection
35,4,tx.origin,code snippet injection
