loc,length,bug type,approach
271,3,tx.origin,code snippet injection
266,4,tx.origin,code snippet injection
261,4,tx.origin,code snippet injection
168,4,tx.origin,code snippet injection
64,4,tx.origin,code snippet injection
59,4,tx.origin,code snippet injection
469,4,tx.origin,code snippet injection
462,4,tx.origin,code snippet injection
448,4,tx.origin,code snippet injection
438,4,tx.origin,code snippet injection
416,4,tx.origin,code snippet injection
388,4,tx.origin,code snippet injection
359,3,tx.origin,code snippet injection
343,4,tx.origin,code snippet injection
249,3,tx.origin,code snippet injection
235,4,tx.origin,code snippet injection
219,3,tx.origin,code snippet injection
154,4,tx.origin,code snippet injection
143,4,tx.origin,code snippet injection
130,4,tx.origin,code snippet injection
121,5,tx.origin,code snippet injection
114,3,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
334,4,tx.origin,code snippet injection
329,4,tx.origin,code snippet injection
315,4,tx.origin,code snippet injection
291,3,tx.origin,code snippet injection
286,4,tx.origin,code snippet injection
282,3,tx.origin,code snippet injection
276,5,tx.origin,code snippet injection
200,4,tx.origin,code snippet injection
195,4,tx.origin,code snippet injection
188,4,tx.origin,code snippet injection
183,4,tx.origin,code snippet injection
179,3,tx.origin,code snippet injection
174,4,tx.origin,code snippet injection
84,4,tx.origin,code snippet injection
80,3,tx.origin,code snippet injection
76,3,tx.origin,code snippet injection
71,4,tx.origin,code snippet injection
