loc,length,bug type,approach
996,3,tx.origin,code snippet injection
989,4,tx.origin,code snippet injection
982,4,tx.origin,code snippet injection
975,4,tx.origin,code snippet injection
139,4,tx.origin,code snippet injection
132,4,tx.origin,code snippet injection
125,4,tx.origin,code snippet injection
1300,4,tx.origin,code snippet injection
1251,4,tx.origin,code snippet injection
1215,4,tx.origin,code snippet injection
1194,4,tx.origin,code snippet injection
1158,4,tx.origin,code snippet injection
1138,3,tx.origin,code snippet injection
1115,4,tx.origin,code snippet injection
1091,3,tx.origin,code snippet injection
1070,4,tx.origin,code snippet injection
1046,3,tx.origin,code snippet injection
1032,4,tx.origin,code snippet injection
1009,4,tx.origin,code snippet injection
937,4,tx.origin,code snippet injection
922,5,tx.origin,code snippet injection
909,3,tx.origin,code snippet injection
895,4,tx.origin,code snippet injection
881,4,tx.origin,code snippet injection
809,4,tx.origin,code snippet injection
781,4,tx.origin,code snippet injection
767,3,tx.origin,code snippet injection
745,4,tx.origin,code snippet injection
415,3,tx.origin,code snippet injection
393,5,tx.origin,code snippet injection
376,4,tx.origin,code snippet injection
361,4,tx.origin,code snippet injection
343,4,tx.origin,code snippet injection
291,4,tx.origin,code snippet injection
270,3,tx.origin,code snippet injection
251,4,tx.origin,code snippet injection
230,4,tx.origin,code snippet injection
213,3,tx.origin,code snippet injection
194,3,tx.origin,code snippet injection
177,4,tx.origin,code snippet injection
