loc,length,bug type,approach
351,3,tx.origin,code snippet injection
585,4,tx.origin,code snippet injection
574,4,tx.origin,code snippet injection
563,4,tx.origin,code snippet injection
550,4,tx.origin,code snippet injection
538,4,tx.origin,code snippet injection
526,4,tx.origin,code snippet injection
514,4,tx.origin,code snippet injection
502,4,tx.origin,code snippet injection
472,4,tx.origin,code snippet injection
433,4,tx.origin,code snippet injection
423,4,tx.origin,code snippet injection
412,3,tx.origin,code snippet injection
393,4,tx.origin,code snippet injection
380,3,tx.origin,code snippet injection
368,4,tx.origin,code snippet injection
347,3,tx.origin,code snippet injection
324,4,tx.origin,code snippet injection
317,4,tx.origin,code snippet injection
308,4,tx.origin,code snippet injection
299,5,tx.origin,code snippet injection
283,3,tx.origin,code snippet injection
265,4,tx.origin,code snippet injection
247,4,tx.origin,code snippet injection
228,4,tx.origin,code snippet injection
210,4,tx.origin,code snippet injection
192,3,tx.origin,code snippet injection
173,4,tx.origin,code snippet injection
156,3,tx.origin,code snippet injection
137,5,tx.origin,code snippet injection
123,4,tx.origin,code snippet injection
109,4,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
458,4,tx.origin,code snippet injection
454,3,tx.origin,code snippet injection
449,4,tx.origin,code snippet injection
444,4,tx.origin,code snippet injection
440,3,tx.origin,code snippet injection
398,3,tx.origin,code snippet injection
329,4,tx.origin,code snippet injection
