loc,length,bug type,approach
1023,3,tx.origin,code snippet injection
332,4,tx.origin,code snippet injection
323,4,tx.origin,code snippet injection
274,4,tx.origin,code snippet injection
269,4,tx.origin,code snippet injection
230,4,tx.origin,code snippet injection
225,4,tx.origin,code snippet injection
1074,4,tx.origin,code snippet injection
1066,4,tx.origin,code snippet injection
1034,4,tx.origin,code snippet injection
1002,4,tx.origin,code snippet injection
972,4,tx.origin,code snippet injection
965,3,tx.origin,code snippet injection
957,4,tx.origin,code snippet injection
950,3,tx.origin,code snippet injection
942,4,tx.origin,code snippet injection
925,3,tx.origin,code snippet injection
909,4,tx.origin,code snippet injection
898,4,tx.origin,code snippet injection
878,4,tx.origin,code snippet injection
853,5,tx.origin,code snippet injection
834,3,tx.origin,code snippet injection
822,4,tx.origin,code snippet injection
811,4,tx.origin,code snippet injection
787,4,tx.origin,code snippet injection
776,4,tx.origin,code snippet injection
757,3,tx.origin,code snippet injection
737,4,tx.origin,code snippet injection
723,3,tx.origin,code snippet injection
697,5,tx.origin,code snippet injection
672,4,tx.origin,code snippet injection
649,4,tx.origin,code snippet injection
620,4,tx.origin,code snippet injection
597,4,tx.origin,code snippet injection
577,3,tx.origin,code snippet injection
555,4,tx.origin,code snippet injection
539,4,tx.origin,code snippet injection
529,3,tx.origin,code snippet injection
513,3,tx.origin,code snippet injection
502,4,tx.origin,code snippet injection
