loc,length,bug type,approach
361,3,tx.origin,code snippet injection
355,4,tx.origin,code snippet injection
465,4,tx.origin,code snippet injection
446,4,tx.origin,code snippet injection
430,4,tx.origin,code snippet injection
413,4,tx.origin,code snippet injection
401,4,tx.origin,code snippet injection
389,4,tx.origin,code snippet injection
375,4,tx.origin,code snippet injection
242,4,tx.origin,code snippet injection
231,4,tx.origin,code snippet injection
224,4,tx.origin,code snippet injection
218,3,tx.origin,code snippet injection
211,4,tx.origin,code snippet injection
179,3,tx.origin,code snippet injection
159,4,tx.origin,code snippet injection
149,3,tx.origin,code snippet injection
136,4,tx.origin,code snippet injection
123,4,tx.origin,code snippet injection
109,4,tx.origin,code snippet injection
100,5,tx.origin,code snippet injection
93,3,tx.origin,code snippet injection
84,4,tx.origin,code snippet injection
76,4,tx.origin,code snippet injection
69,4,tx.origin,code snippet injection
61,4,tx.origin,code snippet injection
55,3,tx.origin,code snippet injection
28,4,tx.origin,code snippet injection
20,3,tx.origin,code snippet injection
347,5,tx.origin,code snippet injection
341,4,tx.origin,code snippet injection
336,4,tx.origin,code snippet injection
198,4,tx.origin,code snippet injection
193,4,tx.origin,code snippet injection
189,3,tx.origin,code snippet injection
184,4,tx.origin,code snippet injection
47,4,tx.origin,code snippet injection
42,3,tx.origin,code snippet injection
37,3,tx.origin,code snippet injection
