loc,length,bug type,approach
346,3,tx.origin,code snippet injection
337,4,tx.origin,code snippet injection
328,4,tx.origin,code snippet injection
319,4,tx.origin,code snippet injection
310,4,tx.origin,code snippet injection
199,4,tx.origin,code snippet injection
192,4,tx.origin,code snippet injection
185,4,tx.origin,code snippet injection
178,4,tx.origin,code snippet injection
152,4,tx.origin,code snippet injection
141,4,tx.origin,code snippet injection
130,4,tx.origin,code snippet injection
120,3,tx.origin,code snippet injection
108,4,tx.origin,code snippet injection
101,3,tx.origin,code snippet injection
93,4,tx.origin,code snippet injection
85,3,tx.origin,code snippet injection
77,4,tx.origin,code snippet injection
70,4,tx.origin,code snippet injection
62,4,tx.origin,code snippet injection
54,5,tx.origin,code snippet injection
25,3,tx.origin,code snippet injection
18,4,tx.origin,code snippet injection
298,4,tx.origin,code snippet injection
293,4,tx.origin,code snippet injection
288,4,tx.origin,code snippet injection
167,3,tx.origin,code snippet injection
162,4,tx.origin,code snippet injection
158,3,tx.origin,code snippet injection
45,5,tx.origin,code snippet injection
39,4,tx.origin,code snippet injection
33,4,tx.origin,code snippet injection
