loc,length,bug type,approach
160,3,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
304,4,tx.origin,code snippet injection
293,4,tx.origin,code snippet injection
284,4,tx.origin,code snippet injection
274,4,tx.origin,code snippet injection
264,4,tx.origin,code snippet injection
227,4,tx.origin,code snippet injection
213,4,tx.origin,code snippet injection
191,4,tx.origin,code snippet injection
154,4,tx.origin,code snippet injection
149,4,tx.origin,code snippet injection
145,3,tx.origin,code snippet injection
136,4,tx.origin,code snippet injection
124,3,tx.origin,code snippet injection
90,4,tx.origin,code snippet injection
86,3,tx.origin,code snippet injection
72,4,tx.origin,code snippet injection
48,4,tx.origin,code snippet injection
245,4,tx.origin,code snippet injection
239,5,tx.origin,code snippet injection
235,3,tx.origin,code snippet injection
169,4,tx.origin,code snippet injection
107,4,tx.origin,code snippet injection
80,4,tx.origin,code snippet injection
34,4,tx.origin,code snippet injection
