loc,length,bug type,approach
349,3,tx.origin,code snippet injection
340,4,tx.origin,code snippet injection
331,4,tx.origin,code snippet injection
322,4,tx.origin,code snippet injection
313,4,tx.origin,code snippet injection
207,4,tx.origin,code snippet injection
200,4,tx.origin,code snippet injection
193,4,tx.origin,code snippet injection
186,4,tx.origin,code snippet injection
159,4,tx.origin,code snippet injection
148,4,tx.origin,code snippet injection
137,4,tx.origin,code snippet injection
127,3,tx.origin,code snippet injection
115,4,tx.origin,code snippet injection
108,3,tx.origin,code snippet injection
100,4,tx.origin,code snippet injection
92,3,tx.origin,code snippet injection
84,4,tx.origin,code snippet injection
77,4,tx.origin,code snippet injection
69,4,tx.origin,code snippet injection
61,5,tx.origin,code snippet injection
33,3,tx.origin,code snippet injection
24,4,tx.origin,code snippet injection
303,4,tx.origin,code snippet injection
298,4,tx.origin,code snippet injection
174,4,tx.origin,code snippet injection
170,3,tx.origin,code snippet injection
165,4,tx.origin,code snippet injection
54,3,tx.origin,code snippet injection
47,5,tx.origin,code snippet injection
41,4,tx.origin,code snippet injection
