loc,length,bug type,approach
62,3,tx.origin,code snippet injection
95,4,tx.origin,code snippet injection
87,4,tx.origin,code snippet injection
73,4,tx.origin,code snippet injection
38,4,tx.origin,code snippet injection
33,4,tx.origin,code snippet injection
28,4,tx.origin,code snippet injection
23,4,tx.origin,code snippet injection
15,4,tx.origin,code snippet injection
10,4,tx.origin,code snippet injection
56,4,tx.origin,code snippet injection
51,4,tx.origin,code snippet injection
47,3,tx.origin,code snippet injection
