loc,length,bug type,approach
48,2,Unchecked-Send,code snippet injection
45,2,Unchecked-Send,code snippet injection
42,2,Unchecked-Send,code snippet injection
39,2,Unchecked-Send,code snippet injection
965,2,Unchecked-Send,code snippet injection
923,2,Unchecked-Send,code snippet injection
891,2,Unchecked-Send,code snippet injection
873,2,Unchecked-Send,code snippet injection
834,2,Unchecked-Send,code snippet injection
809,2,Unchecked-Send,code snippet injection
117,2,Unchecked-Send,code snippet injection
96,2,Unchecked-Send,code snippet injection
90,2,Unchecked-Send,code snippet injection
82,2,Unchecked-Send,code snippet injection
76,2,Unchecked-Send,code snippet injection
68,2,Unchecked-Send,code snippet injection
62,2,Unchecked-Send,code snippet injection
860,2,Unchecked-Send,code snippet injection
827,2,Unchecked-Send,code snippet injection
822,2,Unchecked-Send,code snippet injection
55,2,Unchecked-Send,code snippet injection
52,2,Unchecked-Send,code snippet injection
35,2,Unchecked-Send,code snippet injection
32,2,Unchecked-Send,code snippet injection
29,2,Unchecked-Send,code snippet injection
