loc,length,bug type,approach
1178,2,Unchecked-Send,code snippet injection
1131,2,Unchecked-Send,code snippet injection
1037,2,Unchecked-Send,code snippet injection
909,2,Unchecked-Send,code snippet injection
904,2,Unchecked-Send,code snippet injection
858,2,Unchecked-Send,code snippet injection
849,2,Unchecked-Send,code snippet injection
837,2,Unchecked-Send,code snippet injection
113,2,Unchecked-Send,code snippet injection
110,2,Unchecked-Send,code snippet injection
107,2,Unchecked-Send,code snippet injection
104,2,Unchecked-Send,code snippet injection
2097,2,Unchecked-Send,code snippet injection
2070,2,Unchecked-Send,code snippet injection
2040,2,Unchecked-Send,code snippet injection
2024,2,Unchecked-Send,code snippet injection
1984,2,Unchecked-Send,code snippet injection
1947,2,Unchecked-Send,code snippet injection
1887,2,Unchecked-Send,code snippet injection
1869,2,Unchecked-Send,code snippet injection
1369,2,Unchecked-Send,code snippet injection
1343,2,Unchecked-Send,code snippet injection
1335,2,Unchecked-Send,code snippet injection
1318,2,Unchecked-Send,code snippet injection
1301,2,Unchecked-Send,code snippet injection
1283,2,Unchecked-Send,code snippet injection
1265,2,Unchecked-Send,code snippet injection
1249,2,Unchecked-Send,code snippet injection
1233,2,Unchecked-Send,code snippet injection
1217,2,Unchecked-Send,code snippet injection
1197,2,Unchecked-Send,code snippet injection
1187,2,Unchecked-Send,code snippet injection
