loc,length,bug type,approach
181,2,Unchecked-Send,code snippet injection
18,2,Unchecked-Send,code snippet injection
244,2,Unchecked-Send,code snippet injection
235,2,Unchecked-Send,code snippet injection
226,2,Unchecked-Send,code snippet injection
200,2,Unchecked-Send,code snippet injection
191,2,Unchecked-Send,code snippet injection
92,2,Unchecked-Send,code snippet injection
78,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
39,2,Unchecked-Send,code snippet injection
30,2,Unchecked-Send,code snippet injection
177,2,Unchecked-Send,code snippet injection
173,2,Unchecked-Send,code snippet injection
169,2,Unchecked-Send,code snippet injection
14,2,Unchecked-Send,code snippet injection
