loc,length,bug type,approach
157,2,Unchecked-Send,code snippet injection
111,2,Unchecked-Send,code snippet injection
108,2,Unchecked-Send,code snippet injection
105,2,Unchecked-Send,code snippet injection
71,2,Unchecked-Send,code snippet injection
477,2,Unchecked-Send,code snippet injection
466,2,Unchecked-Send,code snippet injection
457,2,Unchecked-Send,code snippet injection
447,2,Unchecked-Send,code snippet injection
439,2,Unchecked-Send,code snippet injection
419,2,Unchecked-Send,code snippet injection
393,2,Unchecked-Send,code snippet injection
388,2,Unchecked-Send,code snippet injection
376,2,Unchecked-Send,code snippet injection
367,2,Unchecked-Send,code snippet injection
357,2,Unchecked-Send,code snippet injection
348,2,Unchecked-Send,code snippet injection
318,2,Unchecked-Send,code snippet injection
293,2,Unchecked-Send,code snippet injection
269,2,Unchecked-Send,code snippet injection
246,2,Unchecked-Send,code snippet injection
239,2,Unchecked-Send,code snippet injection
233,2,Unchecked-Send,code snippet injection
227,2,Unchecked-Send,code snippet injection
222,2,Unchecked-Send,code snippet injection
213,2,Unchecked-Send,code snippet injection
178,2,Unchecked-Send,code snippet injection
154,2,Unchecked-Send,code snippet injection
150,2,Unchecked-Send,code snippet injection
146,2,Unchecked-Send,code snippet injection
142,2,Unchecked-Send,code snippet injection
132,2,Unchecked-Send,code snippet injection
