loc,length,bug type,approach
816,2,Unchecked-Send,code snippet injection
813,2,Unchecked-Send,code snippet injection
810,2,Unchecked-Send,code snippet injection
807,2,Unchecked-Send,code snippet injection
804,2,Unchecked-Send,code snippet injection
672,2,Unchecked-Send,code snippet injection
669,2,Unchecked-Send,code snippet injection
666,2,Unchecked-Send,code snippet injection
544,2,Unchecked-Send,code snippet injection
528,2,Unchecked-Send,code snippet injection
412,2,Unchecked-Send,code snippet injection
977,2,Unchecked-Send,code snippet injection
967,2,Unchecked-Send,code snippet injection
956,2,Unchecked-Send,code snippet injection
939,2,Unchecked-Send,code snippet injection
929,2,Unchecked-Send,code snippet injection
917,2,Unchecked-Send,code snippet injection
907,2,Unchecked-Send,code snippet injection
897,2,Unchecked-Send,code snippet injection
885,2,Unchecked-Send,code snippet injection
878,2,Unchecked-Send,code snippet injection
866,2,Unchecked-Send,code snippet injection
856,2,Unchecked-Send,code snippet injection
790,2,Unchecked-Send,code snippet injection
778,2,Unchecked-Send,code snippet injection
767,2,Unchecked-Send,code snippet injection
733,2,Unchecked-Send,code snippet injection
720,2,Unchecked-Send,code snippet injection
709,2,Unchecked-Send,code snippet injection
697,2,Unchecked-Send,code snippet injection
652,2,Unchecked-Send,code snippet injection
640,2,Unchecked-Send,code snippet injection
