loc,length,bug type,approach
1013,2,Unchecked-Send,code snippet injection
1010,2,Unchecked-Send,code snippet injection
1007,2,Unchecked-Send,code snippet injection
1004,2,Unchecked-Send,code snippet injection
1001,2,Unchecked-Send,code snippet injection
540,2,Unchecked-Send,code snippet injection
533,2,Unchecked-Send,code snippet injection
477,2,Unchecked-Send,code snippet injection
474,2,Unchecked-Send,code snippet injection
338,2,Unchecked-Send,code snippet injection
1617,2,Unchecked-Send,code snippet injection
1609,2,Unchecked-Send,code snippet injection
1601,2,Unchecked-Send,code snippet injection
1587,2,Unchecked-Send,code snippet injection
1575,2,Unchecked-Send,code snippet injection
1527,2,Unchecked-Send,code snippet injection
1516,2,Unchecked-Send,code snippet injection
1506,2,Unchecked-Send,code snippet injection
1465,2,Unchecked-Send,code snippet injection
1459,2,Unchecked-Send,code snippet injection
1453,2,Unchecked-Send,code snippet injection
1443,2,Unchecked-Send,code snippet injection
1437,2,Unchecked-Send,code snippet injection
1429,2,Unchecked-Send,code snippet injection
1420,2,Unchecked-Send,code snippet injection
1413,2,Unchecked-Send,code snippet injection
1393,2,Unchecked-Send,code snippet injection
1372,2,Unchecked-Send,code snippet injection
1348,2,Unchecked-Send,code snippet injection
1342,2,Unchecked-Send,code snippet injection
1245,2,Unchecked-Send,code snippet injection
1230,2,Unchecked-Send,code snippet injection
