loc,length,bug type,approach
345,2,Unchecked-Send,code snippet injection
338,2,Unchecked-Send,code snippet injection
331,2,Unchecked-Send,code snippet injection
325,2,Unchecked-Send,code snippet injection
316,2,Unchecked-Send,code snippet injection
309,2,Unchecked-Send,code snippet injection
302,2,Unchecked-Send,code snippet injection
295,2,Unchecked-Send,code snippet injection
289,2,Unchecked-Send,code snippet injection
282,2,Unchecked-Send,code snippet injection
174,2,Unchecked-Send,code snippet injection
169,2,Unchecked-Send,code snippet injection
164,2,Unchecked-Send,code snippet injection
159,2,Unchecked-Send,code snippet injection
145,2,Unchecked-Send,code snippet injection
136,2,Unchecked-Send,code snippet injection
127,2,Unchecked-Send,code snippet injection
118,2,Unchecked-Send,code snippet injection
107,2,Unchecked-Send,code snippet injection
101,2,Unchecked-Send,code snippet injection
95,2,Unchecked-Send,code snippet injection
87,2,Unchecked-Send,code snippet injection
81,2,Unchecked-Send,code snippet injection
76,2,Unchecked-Send,code snippet injection
69,2,Unchecked-Send,code snippet injection
64,2,Unchecked-Send,code snippet injection
49,2,Unchecked-Send,code snippet injection
42,2,Unchecked-Send,code snippet injection
273,2,Unchecked-Send,code snippet injection
270,2,Unchecked-Send,code snippet injection
267,2,Unchecked-Send,code snippet injection
264,2,Unchecked-Send,code snippet injection
