loc,length,bug type,approach
550,2,Unchecked-Send,code snippet injection
538,2,Unchecked-Send,code snippet injection
506,2,Unchecked-Send,code snippet injection
498,2,Unchecked-Send,code snippet injection
491,2,Unchecked-Send,code snippet injection
460,2,Unchecked-Send,code snippet injection
447,2,Unchecked-Send,code snippet injection
424,2,Unchecked-Send,code snippet injection
403,2,Unchecked-Send,code snippet injection
384,2,Unchecked-Send,code snippet injection
359,2,Unchecked-Send,code snippet injection
338,2,Unchecked-Send,code snippet injection
319,2,Unchecked-Send,code snippet injection
299,2,Unchecked-Send,code snippet injection
285,2,Unchecked-Send,code snippet injection
276,2,Unchecked-Send,code snippet injection
261,2,Unchecked-Send,code snippet injection
252,2,Unchecked-Send,code snippet injection
483,2,Unchecked-Send,code snippet injection
480,2,Unchecked-Send,code snippet injection
477,2,Unchecked-Send,code snippet injection
242,2,Unchecked-Send,code snippet injection
238,2,Unchecked-Send,code snippet injection
234,2,Unchecked-Send,code snippet injection
