loc,length,bug type,approach
326,2,Unchecked-Send,code snippet injection
319,2,Unchecked-Send,code snippet injection
313,2,Unchecked-Send,code snippet injection
307,2,Unchecked-Send,code snippet injection
213,2,Unchecked-Send,code snippet injection
208,2,Unchecked-Send,code snippet injection
203,2,Unchecked-Send,code snippet injection
198,2,Unchecked-Send,code snippet injection
178,2,Unchecked-Send,code snippet injection
166,2,Unchecked-Send,code snippet injection
156,2,Unchecked-Send,code snippet injection
146,2,Unchecked-Send,code snippet injection
123,2,Unchecked-Send,code snippet injection
117,2,Unchecked-Send,code snippet injection
111,2,Unchecked-Send,code snippet injection
104,2,Unchecked-Send,code snippet injection
98,2,Unchecked-Send,code snippet injection
93,2,Unchecked-Send,code snippet injection
87,2,Unchecked-Send,code snippet injection
82,2,Unchecked-Send,code snippet injection
53,2,Unchecked-Send,code snippet injection
46,2,Unchecked-Send,code snippet injection
189,2,Unchecked-Send,code snippet injection
186,2,Unchecked-Send,code snippet injection
183,2,Unchecked-Send,code snippet injection
76,2,Unchecked-Send,code snippet injection
72,2,Unchecked-Send,code snippet injection
68,2,Unchecked-Send,code snippet injection
64,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
