loc,length,bug type,approach
571,2,Unchecked-Send,code snippet injection
556,2,Unchecked-Send,code snippet injection
542,2,Unchecked-Send,code snippet injection
527,2,Unchecked-Send,code snippet injection
514,2,Unchecked-Send,code snippet injection
482,2,Unchecked-Send,code snippet injection
469,2,Unchecked-Send,code snippet injection
454,2,Unchecked-Send,code snippet injection
445,2,Unchecked-Send,code snippet injection
436,2,Unchecked-Send,code snippet injection
427,2,Unchecked-Send,code snippet injection
333,2,Unchecked-Send,code snippet injection
316,2,Unchecked-Send,code snippet injection
299,2,Unchecked-Send,code snippet injection
281,2,Unchecked-Send,code snippet injection
264,2,Unchecked-Send,code snippet injection
236,2,Unchecked-Send,code snippet injection
208,2,Unchecked-Send,code snippet injection
186,2,Unchecked-Send,code snippet injection
165,2,Unchecked-Send,code snippet injection
152,2,Unchecked-Send,code snippet injection
133,2,Unchecked-Send,code snippet injection
122,2,Unchecked-Send,code snippet injection
503,2,Unchecked-Send,code snippet injection
499,2,Unchecked-Send,code snippet injection
496,2,Unchecked-Send,code snippet injection
493,2,Unchecked-Send,code snippet injection
490,2,Unchecked-Send,code snippet injection
459,2,Unchecked-Send,code snippet injection
418,2,Unchecked-Send,code snippet injection
415,2,Unchecked-Send,code snippet injection
412,2,Unchecked-Send,code snippet injection
