loc,length,bug type,approach
103,2,Unchecked-Send,code snippet injection
100,2,Unchecked-Send,code snippet injection
97,2,Unchecked-Send,code snippet injection
47,2,Unchecked-Send,code snippet injection
39,2,Unchecked-Send,code snippet injection
257,2,Unchecked-Send,code snippet injection
252,2,Unchecked-Send,code snippet injection
247,2,Unchecked-Send,code snippet injection
227,2,Unchecked-Send,code snippet injection
221,2,Unchecked-Send,code snippet injection
200,2,Unchecked-Send,code snippet injection
195,2,Unchecked-Send,code snippet injection
190,2,Unchecked-Send,code snippet injection
175,2,Unchecked-Send,code snippet injection
168,2,Unchecked-Send,code snippet injection
161,2,Unchecked-Send,code snippet injection
155,2,Unchecked-Send,code snippet injection
149,2,Unchecked-Send,code snippet injection
142,2,Unchecked-Send,code snippet injection
135,2,Unchecked-Send,code snippet injection
32,2,Unchecked-Send,code snippet injection
27,2,Unchecked-Send,code snippet injection
22,2,Unchecked-Send,code snippet injection
18,2,Unchecked-Send,code snippet injection
13,2,Unchecked-Send,code snippet injection
9,2,Unchecked-Send,code snippet injection
110,2,Unchecked-Send,code snippet injection
107,2,Unchecked-Send,code snippet injection
93,2,Unchecked-Send,code snippet injection
90,2,Unchecked-Send,code snippet injection
87,2,Unchecked-Send,code snippet injection
83,2,Unchecked-Send,code snippet injection
