loc,length,bug type,approach
395,2,Unchecked-Send,code snippet injection
390,2,Unchecked-Send,code snippet injection
318,2,Unchecked-Send,code snippet injection
128,2,Unchecked-Send,code snippet injection
123,2,Unchecked-Send,code snippet injection
540,2,Unchecked-Send,code snippet injection
499,2,Unchecked-Send,code snippet injection
483,2,Unchecked-Send,code snippet injection
476,2,Unchecked-Send,code snippet injection
468,2,Unchecked-Send,code snippet injection
460,2,Unchecked-Send,code snippet injection
451,2,Unchecked-Send,code snippet injection
402,2,Unchecked-Send,code snippet injection
366,2,Unchecked-Send,code snippet injection
349,2,Unchecked-Send,code snippet injection
339,2,Unchecked-Send,code snippet injection
324,2,Unchecked-Send,code snippet injection
290,2,Unchecked-Send,code snippet injection
269,2,Unchecked-Send,code snippet injection
251,2,Unchecked-Send,code snippet injection
229,2,Unchecked-Send,code snippet injection
212,2,Unchecked-Send,code snippet injection
193,2,Unchecked-Send,code snippet injection
178,2,Unchecked-Send,code snippet injection
154,2,Unchecked-Send,code snippet injection
98,2,Unchecked-Send,code snippet injection
87,2,Unchecked-Send,code snippet injection
385,2,Unchecked-Send,code snippet injection
382,2,Unchecked-Send,code snippet injection
379,2,Unchecked-Send,code snippet injection
376,2,Unchecked-Send,code snippet injection
313,2,Unchecked-Send,code snippet injection
