loc,length,bug type,approach
382,2,Unchecked-Send,code snippet injection
376,2,Unchecked-Send,code snippet injection
371,2,Unchecked-Send,code snippet injection
355,2,Unchecked-Send,code snippet injection
345,2,Unchecked-Send,code snippet injection
335,2,Unchecked-Send,code snippet injection
314,2,Unchecked-Send,code snippet injection
301,2,Unchecked-Send,code snippet injection
286,2,Unchecked-Send,code snippet injection
271,2,Unchecked-Send,code snippet injection
249,2,Unchecked-Send,code snippet injection
241,2,Unchecked-Send,code snippet injection
155,2,Unchecked-Send,code snippet injection
139,2,Unchecked-Send,code snippet injection
124,2,Unchecked-Send,code snippet injection
108,2,Unchecked-Send,code snippet injection
98,2,Unchecked-Send,code snippet injection
84,2,Unchecked-Send,code snippet injection
70,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
210,2,Unchecked-Send,code snippet injection
205,2,Unchecked-Send,code snippet injection
200,2,Unchecked-Send,code snippet injection
195,2,Unchecked-Send,code snippet injection
188,2,Unchecked-Send,code snippet injection
180,2,Unchecked-Send,code snippet injection
173,2,Unchecked-Send,code snippet injection
50,2,Unchecked-Send,code snippet injection
47,2,Unchecked-Send,code snippet injection
43,2,Unchecked-Send,code snippet injection
38,2,Unchecked-Send,code snippet injection
35,2,Unchecked-Send,code snippet injection
