loc,length,bug type,approach
216,2,Unchecked-Send,code snippet injection
613,2,Unchecked-Send,code snippet injection
604,2,Unchecked-Send,code snippet injection
597,2,Unchecked-Send,code snippet injection
590,2,Unchecked-Send,code snippet injection
584,2,Unchecked-Send,code snippet injection
511,2,Unchecked-Send,code snippet injection
433,2,Unchecked-Send,code snippet injection
289,2,Unchecked-Send,code snippet injection
278,2,Unchecked-Send,code snippet injection
268,2,Unchecked-Send,code snippet injection
254,2,Unchecked-Send,code snippet injection
237,2,Unchecked-Send,code snippet injection
228,2,Unchecked-Send,code snippet injection
207,2,Unchecked-Send,code snippet injection
200,2,Unchecked-Send,code snippet injection
193,2,Unchecked-Send,code snippet injection
164,2,Unchecked-Send,code snippet injection
418,2,Unchecked-Send,code snippet injection
415,2,Unchecked-Send,code snippet injection
412,2,Unchecked-Send,code snippet injection
409,2,Unchecked-Send,code snippet injection
401,2,Unchecked-Send,code snippet injection
212,2,Unchecked-Send,code snippet injection
151,2,Unchecked-Send,code snippet injection
