loc,length,bug type,approach
1225,2,Unchecked-Send,code snippet injection
768,2,Unchecked-Send,code snippet injection
765,2,Unchecked-Send,code snippet injection
762,2,Unchecked-Send,code snippet injection
759,2,Unchecked-Send,code snippet injection
756,2,Unchecked-Send,code snippet injection
1570,2,Unchecked-Send,code snippet injection
1528,2,Unchecked-Send,code snippet injection
1503,2,Unchecked-Send,code snippet injection
1471,2,Unchecked-Send,code snippet injection
1449,2,Unchecked-Send,code snippet injection
1416,2,Unchecked-Send,code snippet injection
1400,2,Unchecked-Send,code snippet injection
1374,2,Unchecked-Send,code snippet injection
1350,2,Unchecked-Send,code snippet injection
1334,2,Unchecked-Send,code snippet injection
1310,2,Unchecked-Send,code snippet injection
1284,2,Unchecked-Send,code snippet injection
1235,2,Unchecked-Send,code snippet injection
1183,2,Unchecked-Send,code snippet injection
1169,2,Unchecked-Send,code snippet injection
1147,2,Unchecked-Send,code snippet injection
1133,2,Unchecked-Send,code snippet injection
1089,2,Unchecked-Send,code snippet injection
1056,2,Unchecked-Send,code snippet injection
1005,2,Unchecked-Send,code snippet injection
989,2,Unchecked-Send,code snippet injection
972,2,Unchecked-Send,code snippet injection
956,2,Unchecked-Send,code snippet injection
942,2,Unchecked-Send,code snippet injection
925,2,Unchecked-Send,code snippet injection
909,2,Unchecked-Send,code snippet injection
